price,status,items_sold,shipping,name,free_returns
64600,Brand New,,0,Xbox Series X w/ ELITE CONTROLLER AND HEADSET,False
77500,Brand New,,5010,Microsoft Xbox Series X 1TB Video Game Console - Black,False
99999,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console - Black Huge Bundle! Fast Ship!!,False
85000,Brand New,,4240,Microsoft Xbox Series X 1TB Video Game Console - Black,False
86000,Brand New,,1595,Xbox Series X Console Halo Infinite Limited Edition PRESALE! *TRUSTED SELLER*,False
87995,Brand New,,0,Microsoft XBOX Series X 1TB Game Console Black - In Hand Ready To Ship - New,True
87500,Brand New,,0,🔥Microsoft Xbox Series X 1TB Game Console FREE SAME DAY SHIPPING❗️ ORDER NOW ❗️,False
66000,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console with extras ,False
62000,Pre-Owned,,2265,Microsoft Xbox Series X 1TB Video Game Console - Black,False
85000,Brand New,,2120,Microsoft Xbox Series X 1TB Video Game Console BRAND NEW SEALED 🔥 SHIPS FAST 🔥,False
100000,Brand New,,0,New ListingBrand New Xbox Series X Halo Infinite Limited Edition Bundle Pre-sale,False
74000,Brand New,,0,🔥Microsoft Xbox Series X 🔥BRAND NEW/IN HAND 🔥 Extra Controller 🔥 Madden 22🔥,False
92500,Brand New,,0,xbox series x Fry Cry 6 bundle,False
75500,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
77000,Brand New,,3500,Microsoft Xbox Series X 1TB Video Game Console - Black,False
99999,Brand New,,0,New ListingXbox Series X Halo Infinite Limited Edition Bundle Confirmed Pre-Order,False
71000,Brand New,,3995,Next Generation Xbox Series X 1TB Video Game Console - Ready To Ship Immediately,False
77354,Brand New,,5310,Microsoft Xbox Series x 1TB Gaming Console | Black | New & OVP | Dealer ✅,False
94900,Brand New,,2000,New ListingMicrosoft Xbox Series X 1TB Video Game Console - With Extra Controller,False
84900,Brand New,,4461,Microsoft Xbox Series X 1TB Video Game Console - XSX - In Hand Ready 2 Ship *NEW,False
85000,Open Box,,3802,Microsoft Xbox Series X 1TB Video Game Console - Black,False
76500,Brand New,,6590,NEW Microsoft Xbox Series X 1TB Video Game Console - IN HAND SHIPS ASAP,False
81000,Brand New,,3284,🔥PRE-SALE! Xbox Series X Halo Infinite 20th Anniversary Limited Edition !!,False
80000,Brand New,,0,PRESALE Brand New Xbox Series X Halo Infinite Limited Edition Bundle Confirmed,False
99999,Brand New,,0,Xbox Series X Halo Infinite Limited Edition Bundle🔥*PRE ORDER* PRESALE CONSOLE,False
89900,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console ✅ FAST SHIPPING!✈✈,False
99995,Brand New,,0,New ListingXbox Series X Halo Infinite Limited Edition Bundle Confirmed Pre-Sale FREE SHIP,False
80569,Brand New,,3000,Xbox Series X Halo Infinite Limited Edition VERIFIED PRESALE Brand New Walmart,False
82000,Pre-Owned,,4330,Xbox Series X console + Extra Controller (new) + Forza Horizon 4 - Ships Today-,False
84999,Brand New,,3500,Brand New Microsoft Xbox Series X,False
115000,Pre-Owned,,6015,Microsoft Xbox Series X 1TB Video Game Console - Black - Plus Two Games!!!,False
70000,Open Box,,10415,Microsoft Xbox Series X 1TB Video Game Console - Black,False
100000,Open Box,,5000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
94999,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black 📦 FREE 2 DAY SHIPPING 📦,False
80000,Brand New,,0,Microsoft Xbox Series X - 1TB With MLB the Show 21 and Extras bundle,False
55000,Open Box,,,New ListingXBOX SERIES X CONSOLE OPEN BOX  **PICK UP ONLY**,False
75000,Open Box,,2190,Microsoft Xbox Series X 1TB Video Game Console - Black,False
50000,Brand New,,0,"New ListingHalo Infinite Collector’s Edition LE 10K, Xbox Series X and Xbox One PRE ORDER",False
85200,Brand New,,5000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
88499,Brand New,,1499,Microsoft XBOX SERIES X 1TB Video Game Console IN HAND BRAND NEW ,False
99000,Brand New,,0,🔥 Xbox Series X 1TB Halo Infinite Limited Edition Console (Walmart Confirmed),False
90900,Brand New,,0,Microsoft Xbox Series X 1TB Console with Extra Wireless Controller - Black,True
88499,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - FREE SHIPPING,False
95999,Brand New,,0,Microsoft XBOX Series X 1TB Console BRAND NEW IN HAND ✅FREE FAST 2 DAY SHIPPING✅,False
89999,Brand New,,0,New Sealed Microsoft Xbox Series X Ship Fast,False
97999,Brand New,,5000,Microsoft Xbox Series X 1TB Console *NEW* SEALED* FAST OVERNIGHT DELIVERY ✈️!,False
80000,Pre-Owned,,5675,Xbox Series X - Slightly Used Console - 1TB - Great Condition,False
98500,Brand New,,4000,New ListingPresale Brand New Xbox Series X Halo Infinite Limited Edition Bundle,False
89999,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console ✅BRAND NEW SEALED FAST SHIPPING✅,False
85000,Brand New,,3174,Microsoft Xbox Series X 1TB Video Game Console - Black,False
95000,Open Box,,2481,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67600,Pre-Owned,,500,Microsoft Xbox Series X 1TB Video Game Console - Black,False
88500,Brand New,,0,🔥Microsoft Xbox Series X 1TB Game Console FREE SAME DAY SHIPPING❗️ ORDER NOW ❗️,False
122500,Brand New,,3500,Xbox Series X Halo Infinite Limited Edition Console Elite Controller Bundle,False
93999,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console FREE SHIPPING BRAND NEW,False
165000,Brand New,,1499,✅ Microsoft Xbox Series X: Halo Infinite Limited Edition Bundle  PRE-ORDER,False
